,Visitor,visitor_score,Home,home_score,season,week,wins_visitor,wins_local,winner,favorite,underdog_win,division_visitor,division_home,interdivision
155,New Orleans SaintsNO,34,Tampa Bay BuccaneersTB,17,2019,11,7,3,New Orleans SaintsNO,New Orleans SaintsNO,No,NFC South,NFC South,Yes
156,New York JetsNYJ,34,Washington RedskinsWAS,17,2019,11,2,1,New York JetsNYJ,New York JetsNYJ,No,AFC East,NFC East,No
157,Arizona CardinalsARI,26,San Francisco 49ersSF,36,2019,11,3,8,San Francisco 49ersSF,San Francisco 49ersSF,No,NFC West,NFC West,Yes
158,Cincinnati BengalsCIN,10,Oakland RaidersOAK,17,2019,11,0,5,Oakland RaidersOAK,Oakland RaidersOAK,No,AFC North,AFC West,No
159,New England PatriotsNE,17,Philadelphia EaglesPHI,10,2019,11,8,5,New England PatriotsNE,New England PatriotsNE,No,AFC East,NFC East,No
160,Chicago BearsCHI,7,Los Angeles RamsLA,17,2019,11,4,5,Los Angeles RamsLA,Los Angeles RamsLA,No,NFC North,NFC West,No
161,Kansas City ChiefsKC,24,Los Angeles ChargersLAC,17,2019,11,6,4,Kansas City ChiefsKC,Kansas City ChiefsKC,No,AFC West,AFC West,Yes
162,Indianapolis ColtsIND,17,Houston TexansHOU,20,2019,12,6,6,Houston TexansHOU,No Favorite,No Favorite,AFC South,AFC South,Yes
163,Tampa Bay BuccaneersTB,35,Atlanta FalconsATL,22,2019,12,3,3,Tampa Bay BuccaneersTB,No Favorite,No Favorite,NFC South,NFC South,Yes
164,Denver BroncosDEN,3,Buffalo BillsBUF,20,2019,12,3,7,Buffalo BillsBUF,Buffalo BillsBUF,No,AFC West,AFC East,No
165,New York GiantsNYG,14,Chicago BearsCHI,19,2019,12,2,4,Chicago BearsCHI,Chicago BearsCHI,No,NFC East,NFC North,No
166,Pittsburgh SteelersPIT,16,Cincinnati BengalsCIN,10,2019,12,5,0,Pittsburgh SteelersPIT,Pittsburgh SteelersPIT,No,AFC North,AFC North,Yes
167,Miami DolphinsMIA,24,Cleveland BrownsCLE,41,2019,12,2,4,Cleveland BrownsCLE,Cleveland BrownsCLE,No,AFC East,AFC North,No
168,Carolina PanthersCAR,31,New Orleans SaintsNO,34,2019,12,5,8,New Orleans SaintsNO,New Orleans SaintsNO,No,NFC South,NFC South,Yes
169,Oakland RaidersOAK,3,New York JetsNYJ,34,2019,12,6,3,New York JetsNYJ,Oakland RaidersOAK,Yes,AFC West,AFC East,No
170,Detroit LionsDET,16,Washington RedskinsWAS,19,2019,12,3,1,Washington RedskinsWAS,Detroit LionsDET,Yes,NFC South,NFC East,No
171,Seattle SeahawksSEA,17,Philadelphia EaglesPHI,9,2019,12,8,5,Seattle SeahawksSEA,Seattle SeahawksSEA,No,NFC West,NFC East,No
172,Jacksonville JaguarsJAX,20,Tennessee TitansTEN,42,2019,12,4,5,Tennessee TitansTEN,Tennessee TitansTEN,No,AFC South,AFC South,Yes
